recipe_name,prep_time,cook_time,total_time,servings,ingredients,instructions,ingredient_names
Ginisang Monggo with Inihaw na Liempo,1 hour,1 hour 10 minutes,2 hours 10 minutes,6,1 1/2 lbs. pork belly liempo | 1/2 cup Knorr Liquid Seasoning | 1 piece lime or 3 pieces calamansi | 2 tablespoons cooking oil | 1 3/4 cups mung beans soaked in 2 cups water | 1 cup malunggay leaves | 6 ounces pork sliced into small pieces | 1 Knorr Pork cube | 1 medium tomato cibed | 1 small red onion chopped | 3 cloves garlic crushed | 1/2 teaspoon ground black pepper | 2 cups water | 3 tablespoons cooking oil | Fish sauce to taste,"Prepare the Inihaw na Liempo by placing the pork belly in a large bowl. Pour the Knorr Liquid Seasoning into the bowl and squeeze out the juice from the lime or calamansi (lemon can also be used). Mix well. Let it marinate for at least 1 hour. | Meanwhile, cook the ginisang monggo starting by heating oil in a pot. Saute garlic, onion, and tomato. | Add pork. Cook for 3 minutes or until it turns light brown. | Pour water into the pot. Let boil. | Add the pork cube. Stir. Cover and cook in medium heat until the mung beans completely absorb the water and become soft (this should take around 30 to 40 minutes). | Add the malunggay leaves and then season with ground black pepper and fish sauce. Cook for 5 minutes more. Turn the heat to off and transfer to a serving bowl. Set aside. | Start to grill the liempo (pork belly) for 3 minutes per side while basting it with a mixture of Knorr liquid seasoning, juice from a piece of lime, and 2 tablespoons cooking oil on every turn. Continue to grill until the liempo until completely done. | Transfer to a serving plate. Serve with ginisang monggo. | Share and enjoy",pork | calamansi | mung bean | malunggay leave | tomato
Filipino Style Pork BBQ,3 hours,15 minutes,3 hours 15 minutes,8,4 lbs. pork shoulder sliced into thin pieces | 3/4 cup soy sauce | 1/2 cup juice extracted from calamansi or lemon | 3/4 cup banana ketchup | 4 tablespoons dark brown sugar | 2 tablespoons garlic powder | 1 teaspoon ground black pepper | 2 teaspoons salt | 1 1/2 cups lemon or lime soda,Arrange the pork slices in a large bowl. | Add all the marinade ingredients. Mix well. Cover the bowl and marinate for at least 3 hours. Note: I strongly suggest marinating overnight for best results. | Fasten the marinated pork together using bamboo skewers. | Heat-up the grill. Start to grill your Filipino Style pork BBQ for 3 to 5 minutes per side until the meat is thoroughly cooked. Make sure to always baste the BBQ when flipping it over. Note: the basting sauce ingredients are the same as the marinade ingredients minus the lemon soda. | Serve with spicy vinegar. | Share and enjoy!,pork | calamansi | banana ketchup | brown sugar | garlic powder | lime soda
Pork Nilaga Recipe,5 minutes,1 hour,1 hour 5 minutes,5,2 lbs. pork belly cut into cubes | 1 Knorr Pork Cube | 3 to 4 small potato peeled and sliced in half | 2 pieces ripe saba banana sliced | 6 to 8 ounces pechay or bok choy | 1 medium yellow onion sliced | 6 to 7 cups water | 1 tablespoon whole peppercorn | 2 to 3 tablespoons fish sauce,Pour water in a cooking pot. Let boil. | Add onion and whole peppercorn. Continue to boil until the onion becomes tender. | Put the pork belly into the cooking pot. Let the water re-boil. | Add the pork cube. Stir. Cover the pot and continue to cook in low heat for 45 to 60 minutes or until the pork gets tender. | Add potato and saba banana. Cook for 5 to 7 minutes. | Add the fish sauce and pechay or bok choy. Stir. Cook for 3 to 5 minutes. | Transfer to a serving bowl. Serve. | Share and enjoy!,pork | potato | saba banana | bok choy | whole peppercorn
Ginisang Pechay with Ground Pork and Shrimp (Sauteed Bok Choy),5 minutes,18 minutes,23 minutes,4,1 lb. bok choy cleaned and chopped | 6 ounces ground pork | 4 ounces small shrimp head and shell removed | 1 medium tomato cubed | 1 medium yellow onion cubed | 3 cloves garlic crushed | 1 cup chicken broth or water | 3 tablespoons cooking oil | 1 to 2 tablespoons fish sauce | 1/4 teaspoon ground black pepper to taste,"Heat oil in a pan. | When the oil is hot, saute garlic, onion, and tomato. | Add ground pork. Cook until brown | Add shrimp and bok choy. Stir-fry for 3 to 5 minutes. | Pour-in chicken broth (or water). Let boil. Cover and simmer for 2 to 3 minutes. | Add fish sauce and ground black pepper. | Transfer to a serving bowl. Serve. | Share and enjoy!",bok choy | pork | shrimp and shell | tomato | chicken broth
Ginisang Sitaw Kalabasa at Malunggay with Shrimp (Sauteed Squash with Shrimp),5 minutes,18 minutes,23 minutes,4,"1 lb. medium shrimp head and shell removed | 1 lb. butternut squash cubed | 18 to 20 pieces snake beans sitaw, cut into 2 inch pieces | 1 cup malunggay leaves | 1 cup chicken broth | 1 medium yellow onion chopped | 4 cloves crushed garlic | 3 tablespoons oil | Salt and ground black pepper to taste","Heat oil in a pan. | Once the oil gets hot, pan-fry the shrimp in medium heat for 1 minute per side. Remove from the pan. Set aside. | Using the remaining oil (add more if needed), saut garlic and onion. | Add the squash. Stir-fry for 3 minutes. | Add the snake beans. Continue to cook for 1 minute. | Put the malunggay leave into the pot and then pour the chicken broth. Let boil. Stir. Cover and cook for 5 to 8 minutes. | Sprinkle salt and ground black pepper to taste. | Serve. Share and enjoy!",shrimp and shell | butternut kalabasa | snake beans sitaw | malunggay leave | chicken broth | crushed garlic
Pork Pata Humba Recipe,10 minutes,1 hour 30 minutes,1 hour 40 minutes,4,"2 lbs ham hock pata, sliced | 1/2 cup dried banana blossoms | 1 Knorr pork cube | 1/4 cup salted black beans | 1/4 cup dark brown sugar | 1 medium yellow onion | 4 cloves garlic crushed | 3 pieces dried bay leaves | 1/2 teaspoon crushed peppercorn | 4 cups pineapple juice | 1/2 cup soy sauce | 1 teaspoon vinegar | 6 cups water | 3 tablespoons cooking oil","Pour water in a cooking pot. Let boil. | Add the ham hock (pata). Scoop out the scums that will eventually float. Cover and boil in medium heat for 40 to 60 minutes. You can add more water if needed. | Remove the pata from the cooking pot and set it aside. Discard the water. | Pour oil into a clean cooking pot. | Once the oil gets hot, saute garlic and onion. | Add the boiled pata. Stir and cook for 1 minute. | Pour the soy sauce and pineapple juice into the pot. Let boil. | Add the pork cube. Stir. | Add the dried bay leaves, cracked peppercorns, dried banana blossoms, and salted black beans (tausi). Stir. Cover and continue to cook between low to medium heat until the liquid reduces to half. | Add the vinegar. Stir and then add the dark brown sugar. Continue to cook for 5 minutes. | Transfer to a serving bowl or plate. Serve. | Share and enjoy!",ham hock pata | dried banana blossom | black bean | brown sugar | dried bay leave | crushed peppercorn | pineapple juice
Filipino Shrimp Pancit Bihon Recipe,5 minutes,18 minutes,23 minutes,4,8 to 12 pieces fresh shrimp shelled and head removed | 1/2 small cabbage | 1 lb. pansit bihon dried rice noodles | 1 Knorr Shrimp Cube | 3/4 cup carrots juilienne | 3/4 cup celery chopped | 1 cup snow peas | 1/2 cup chopped parsley | 1 medium yellow onion sliced | 4 cloves garlic crushed and chopped | 6 cups water | 1/2 cup soy sauce | 1/4 teaspoon ground black pepper | 3 tablespoons cooking oil,"Heat oil in a cooking pot. | Once the oil gets hot, pan-fry the shrimp for 1 minute per side. Remove from the pot. Set aside. | Meanwhile, using the remaining oil (you can add more if needed), saute garlic, onion, and celery. | Add the parsley and ground black pepper. Stir. | Pour-in soy sauce and water. Let boil. | Add the shrimp cube. Stir and cook for 2 to 3 minutes. | Add the carrot, cabbage, and snow peas. | Add the pancit bihon. Gently toss until it absorbs all the liquid. Note: you can add more water if needed. | Put the pan-fried shrimp back into the pot. Cook for 3 minutes more. | Tranfer to a serving plate. Serve. | Share and enjoy!",shrimp | cabbage | pansit bihon | carrots juilienne | celery | snow pea | parsley
Pork Menudo with Ham Recipe,5 minutes,50 minutes,55 minutes,4,6 ounces pork sliced into small cubes | 5 ounces ham cubed | 1 small potato cubed | 1 small carrot cubed | 1 small red bell pepper chopped | 1 small green bell pepper chopped | 1 ounce raisins | 1 small onion chopped | 4 cloves garlic crushed | 1 8 oz. can tomato sauce | 1 1/2 cup beef broth or 1 1/2 cup water with 1 piece beef cube | 3 tablespoons cooking oil,"Heat oil in a pot. | Saut garlic and onion | Once the onion gets soft, add the pork. Cook until light brown. | Add the ham. Cook for 2 minutes. | Pour the tomato sauce and beef broth. Let boil. | Add the raisins. Cover and cook between low to medium heat until the pork gets tender. | Add potato, carrot, and bell pepper. Cook for 5 to 8 minutes. | Add salt and ground black pepper. Stir. Cook for 2 to 3 minutes. | Transfer to a serving plate. Serve with rice. | Share and enjoy!",cubes | ham | potato | carrot | bell pepper | raisin | sauce | beef broth
Ginataang Manok with Sitaw at Kalabasa,5 minutes,1 hour,1 hour 5 minutes,5,"2 lbs. chicken cut into serving pieces | 3/4 lb. 340 g kalabasa (calabaza squash or butternut squash), cut into cubes | 12 pieces sitaw snake beans, cut in 2 inch length | 1 medium onion diced | 4 cloves garlic crushed | 1 40g pack Knorr Ginataang Gulay Mix | 2 3/4 cups water | 2 teaspoons patis fish sauce | 1/8 teaspoon ground black pepper | 3 tablespoons cooking oil",Heat oil in a pot. | Saut garlic and onion | Add the chicken and then continue to cook until the color turns light brown. | Pour 2 cups water. Let boil. Cover and cook in medium heat for 40 minutes. Note: add more water if needed. | Add the kalabasa into the pot. Stir and then cook for 5 minutes. | Prepare the gata by combining 3/4 cup lukewarm water with Knorr Ginataang Gulay Mix. Stir and pour into the pot. Cook for 2 minutes. | Add the sitaw (snake beans). Cover the pot and cook for 3 to 5 minutes. | Sprinkle some ground black pepper into the pot and pour the fish sauce in. Stir and cook for 1 minute. | Transfer to a serving bowl. Serve. | Share and enjoy!,chicken | kalabasa calabaza kalabasa | sitaw snake bean | fish sauce fish sauce
Spicy Ginataang Hipon Recipe,5 minutes,18 minutes,23 minutes,4,"1 1/2 lb. medium shrimp with head and shells on | 1 pack Knorr Ginataang Gulay mix | 3 pieces long green pepper siling pansigang, sliced into thin pieces | 2 to 5 pieces birds eye chili siling labuyo, chopped | 2 thumbs ginger minced | 1 medium onion sliced | 1/2 cup chopped scallions | 4 cloves garlic crushed | 1/4 teaspoon ground black pepper | 3/4 cup lukewarm water | Fish sauce patis to taste (optional) | 3 tablespoons cooking oil","Prepare the gata by combining lukewarm water and Knorr Ginataang Gulay mix. Stir and set aside. | Heat oil in a pot | Saut garlic, onion, and ginger | Once the onion starts to get soft, add the green pepper, scallions, and chili. Stir and continue to cook for 1 minute. | Pour the gata mixture into the pot. Let boil. | Add the shrimp. Continue to cook while stirring once in a while for 5 minutes. | Add ground black pepper and fish sauce. Stir and then cook for 1 to 2 minutes. | Transfer to a serving bowl. Serve with rice. | Share and enjoy!",and shell | long green pepper | labuyo | thumbs ginger | green onion | lukewarm water | fish sauce fish sauce
Chicken Adobo with Egg,10 minutes,50 minutes,1 hour,5,2 lbs. chicken thigh cut into serving pieces | 5 pieces hard boiled eggs | 2 cups chicken broth | 5 tablespoons dark soy sauce | 3 tablespoons vinegar | 6 to 8 cloves garlic crushed | 1 tablespoon whole peppercorn | 4 pieces dried bay leaves | Salt to taste optional | 3 tablespoons cooking oil,"Combine chicken, soy sauce, whole peppercorn, and half of the crushed garlic in a large bowl. Mix well and ensure that the chicken gets coated with the marinade. Cover the bowl and marinate for at least 1 hour. Note: the longer the time to marinate, the better. | Heat oil in a cooking pot | Add the remaining crushed garlic. Cook until the garlic starts to turn brown. | Add the marinated chicken including the marinade. Stir and cook for 3 minutes. | Pour the chicken broth into the pot. Let boil. | Add the bay leaves and pour the vinegar into the pot. Let boil. Stir and cover the pot. Continue to cook until the chicken gets tender and the sauce reduces to your preference. | Add salt (only if needed) and then add the eggs. Stir and cook for 2 minutes more. | Transfer to a serving plate. Serve. | Share and enjoy!",chicken | hard boiled egg | chicken broth | dark soy sauce | whole peppercorn | dried bay leave
Pork Dinuguan sa Gata Recipe,10 minutes,50 minutes,1 hour,4,1 1/2 lbs. pork shoulder sliced into cubes | 1 40g pack Knorr Ginataang Gulay Mix | 1 cup pork blood | 4 pieces long green pepper silig pansigang | 1/2 cup vinegar | 1 medium onion chopped | 4 cloves garlic crushed | 2 1/4 cups water | 1/4 teaspoon ground black pepper | 3 tablespoons cooking oil | Salt to taste,Heat oil in a cooking pot. | Saut garlic and onion until the onion becomes soft | Add the pork. Saut until the color turns light brown. | Add the ground black pepper. Stir. | Pour-in 1 1/2 cups water. Let boil. Cover and continue to cook in low to medium heat for 20 minutes. | Pour the vinegar. Let the liquid reboil. Stir and continue to cook until the pork gets tender. | Pour the pork blood into the pot while stirring. Cook for 12 minutes. Add salt if needed. | Prepare the gata by combining 3/4 cup lukewarm water and ginataang gulay mix. Stir until well blended. | Pour the gata into the cooking pot. Stir and cook for 8 to 10 minutes. | Add the long green chili peppers. Cook for 2 minutes more. | Transfer to a serving bowl. Serve. | Share and enjoy!,pork | pork blood | long green pepper chilig pansigang
Pork Bicol Express,10 minutes,50 minutes,1 hour,4,"1 lb. pork shoulder sliced into cubes | 3 pieces long green pepper siling pansigang, sliced into thin pieces | 8 pieces birds eye chili siling labuyo or Thai chili, sliced into small pieces | 1 piece onion sliced | 4 cloves garlic crushed | 1 pack Knorr Ginataang Gulay mix 45g | 1 tablespoon shrimp paste bagoong alamang | 3 tablespoons cooking oil | 1/4 teaspoon ground black pepper | 2 1/4 cups water | Salt to taste optional","Heat oil in a cooking pot | Saut garlic and onion until the onions get soft. | Add the ground black pepper and pork. Saut until the color turns light brown. | Pour 1 1/2 cups water. Let boil. Cover and continue to cook in medium heat until the pork gets tender and the water almost evaporates completely. | Prepare the gata by combining 3/4 cup lukewarm water and Knorr Ginataang Gulay mix. Stir until the powder dissolves completely. Set aside. | Add the long green pepper, chili pepper, and shrimp paste into the cooking pot. Stir. | Pour the gata mixture into the pot. Let boil. Cover and cook in medium heat until the liquid reduces to half. Make sure to stir once in a while. | Add salt to taste. Transfer to a serving bowl. | Serve with rice. Share and enjoy!",pork | long green pepper | thai chili | shrimp paste shrimp paste shrimp paste
